Type	Test	#Threads	Runtime
PointerBased	Insertion	1	0.2200511
Coarse-Grain	Insertion	1	0.2798657
Fine-Grain	Insertion	1	0.2000665
Optimistic	Insertion	1	0.2652953
LockFree	Insertion	1	0.3628549
Coarse-Grain	Insertion	2	0.2569825
Fine-Grain	Insertion	2	0.2490505
Optimistic	Insertion	2	0.0890208
LockFree	Insertion	2	0.3309423
Coarse-Grain	Insertion	3	0.2558517
Fine-Grain	Insertion	3	0.4147365
Optimistic	Insertion	3	0.0774782
LockFree	Insertion	3	0.2134344
Coarse-Grain	Insertion	4	0.2323831
Fine-Grain	Insertion	4	0.3794136
Optimistic	Insertion	4	0.1357508
LockFree	Insertion	4	0.1843112
Coarse-Grain	Insertion	5	0.2795789
Fine-Grain	Insertion	5	0.4396519
Optimistic	Insertion	5	0.0589037
LockFree	Insertion	5	0.2334058
Coarse-Grain	Insertion	6	0.3347098
Fine-Grain	Insertion	6	0.52474
Optimistic	Insertion	6	0.0517989
LockFree	Insertion	6	0.2537728
Coarse-Grain	Insertion	7	0.424514
Fine-Grain	Insertion	7	0.4644813
Optimistic	Insertion	7	0.0504253
LockFree	Insertion	7	0.2395679
Coarse-Grain	Insertion	8	0.3424821
Fine-Grain	Insertion	8	0.4773419
Optimistic	Insertion	8	0.0500955
LockFree	Insertion	8	0.2799009
Coarse-Grain	Insertion	9	0.398693
Fine-Grain	Insertion	9	0.5002912
Optimistic	Insertion	9	0.0472574
LockFree	Insertion	9	0.0788009
Coarse-Grain	Insertion	10	0.2854364
Fine-Grain	Insertion	10	0.5001771
Optimistic	Insertion	10	0.1745676
LockFree	Insertion	10	0.0674976
Coarse-Grain	Insertion	11	0.3073823
Fine-Grain	Insertion	11	0.5212577
Optimistic	Insertion	11	0.0452832
LockFree	Insertion	11	0.1056455
Coarse-Grain	Insertion	12	0.3338318
Fine-Grain	Insertion	12	0.5803691
Optimistic	Insertion	12	0.0463441
LockFree	Insertion	12	0.0648866
