Type	Test	#Threads	Runtime
PointerBased	Removal		1	0.5427099
Coarse-Grain	Removal		1	0.6092092
Fine-Grain	Removal		1	0.6408896
Optimistic	Removal		1	0.5891088
LockFree	Removal		1	0.7975103
Coarse-Grain	Removal		2	0.7263274
Fine-Grain	Removal		2	0.7703874
Optimistic	Removal		2	0.3531388
LockFree	Removal		2	0.7134427
Coarse-Grain	Removal		3	0.7731632
Fine-Grain	Removal		3	1.2363467
Optimistic	Removal		3	0.2853888
LockFree	Removal		3	0.4881717
Coarse-Grain	Removal		4	0.7679647
Fine-Grain	Removal		4	1.1844434
Optimistic	Removal		4	0.3336119
LockFree	Removal		4	0.4317804
Coarse-Grain	Removal		5	0.8845473
Fine-Grain	Removal		5	1.2685114
Optimistic	Removal		5	0.2407981
LockFree	Removal		5	0.472222
Coarse-Grain	Removal		6	0.9411358
Fine-Grain	Removal		6	1.4242576
Optimistic	Removal		6	0.2392448
LockFree	Removal		6	0.5026519
Coarse-Grain	Removal		7	1.0522984
Fine-Grain	Removal		7	1.3398642
Optimistic	Removal		7	0.2257257
LockFree	Removal		7	0.4572487
Coarse-Grain	Removal		8	0.9882716
Fine-Grain	Removal		8	1.3562802
Optimistic	Removal		8	0.221556
LockFree	Removal		8	0.4922818
Coarse-Grain	Removal		9	1.0870942
Fine-Grain	Removal		9	1.4044168
Optimistic	Removal		9	0.2153943
LockFree	Removal		9	0.2897312
Coarse-Grain	Removal		10	1.0000608
Fine-Grain	Removal		10	1.4157233
Optimistic	Removal		10	0.3405664
LockFree	Removal		10	0.274288
Coarse-Grain	Removal		11	1.0221057
Fine-Grain	Removal		11	1.4813644
Optimistic	Removal		11	0.208458
LockFree	Removal		11	0.3102232
Coarse-Grain	Removal		12	1.0217667
Fine-Grain	Removal		12	1.5665598
Optimistic	Removal		12	0.2101121
LockFree	Removal		12	0.2742749
